molecule_chembl_id,canonical_smiles,standard_value,drug_level
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,27.9,Active
CHEMBL431844,Nc1c2c(nc3ccccc13)C1CCC2C1,31.5,Active
CHEMBL80247,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,13.8,Active
CHEMBL418917,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,40.8,Active
CHEMBL77896,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,1090.0,Intermediate
CHEMBL369661,Nc1c2c(nc3c(Cl)cccc13)CCCC2,68.9,Active
CHEMBL419457,C[C@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,0,Active
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,61.0,Active
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,2.33,Active
CHEMBL74089,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,21.0,Active
CHEMBL134057,Nc1c2c(nc3cccc(Cl)c13)CCCC2,9.4,Active
CHEMBL76640,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,9890.0,Intermediate
CHEMBL76241,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,330.0,Active
CHEMBL431784,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,56.7,Active
CHEMBL51934,Nc1c2c(nc3ccccc13)CCCC2O,164.0,Active
CHEMBL352500,Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1,4.5,Active
CHEMBL311118,CN1CC[C@@]2(C)C3=CC(=O)C(=O)C=C3N(C)C12,0,Active
CHEMBL292314,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,1.8,Active
CHEMBL355740,Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,84.3,Active
CHEMBL54727,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,24.0,Active
